"ObjectID","Title","ConstituentID","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","URL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"99351","Popular Print for the 6th International Print Biennial in Krakow, published in El Heraldo, February 20, 1976 (Grabado popular impreso para la VI Bienal Internacional de Grabado de Cracovia, publicado en El Heraldo, 20 de febrero de 1976)","[26617]","1976","Offset lithograph on newsprint","composition: 10 15/16 x 13 7/8"" (27.8 x 35.2 cm); sheet (unfolded): 22 13/16 x 30"" (58 x 76.2 cm)","Gift of the artist","512.2005","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/99351","","","","27.8","","","35.2","",""
"35544","Codex Artaud XXIII","[5564]","1972","Cut-and-pasted paper, printed text, gouache, metallic paint, ink, stamped ink, and pencil on paper","24 x 115"" (61 x 292.3 cm)","Gift of Agnes Gund, R.L.B. Tobin and Jo Carole and Ronald S. Lauder","207.1993","Drawing","Drawings & Prints","1993-05-05","Y","http://www.moma.org/collection/works/35544","","","","61.0","","","292.3","",""
"48532","OUGHTMAMA, CHANCEL ARCH OF GREATER CHURCH","[3934]","before 1875","Carbon print","7 3/8 × 9 1/4"" (18.7 × 23.5 cm)","Partial gift of Shirley C. Burden, by exchange","208.1985","Photograph","Photography","1985-05-29","N","","","","","18.7","","","23.5","",""
"48570","FRESHFORD, COUNTY KILKENNY, HOLY WELL","[3934]","before 1875","Carbon print","7 3/8 × 9 1/2"" (18.7 × 24.1 cm)","Partial gift of Shirley C. Burden, by exchange","210.1985","Photograph","Photography","1985-05-29","N","","","","","18.7","","","24.1","",""
"180314","Untitled, São Paulo","[45798]","c. 1941","Gelatin silver print","15 9/16 × 11 11/16"" (39.5 × 29.7 cm)","Acquired through the generosity of José Olympio da Veiga Pereira, and Alfredo Setubal through the Latin American and Caribbean Fund","444.2015","Photograph","Photography","2015-05-28","Y","http://www.moma.org/collection/works/180314","","","","39.5","","","29.7","",""
"110515","Popular Print for the exhibition ""Dreams About Marcel Duchamp"" (Grabado popular impreso para la exhibición ""Sueños con Marcel Duchamp"")","[26617]","1980","Offset lithograph with pencil additions","composition: 7 5/8 x 10 3/16"" (19.4 x 25.8 cm); sheet: 8 3/8 x 10 7/8"" (21.2 x 27.7 cm)","Gift of the artist","519.2005.2","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/110515","","","","19.4","","","25.8","",""
"110519","Popular Print for the exhibition ""Dreams About Marcel Duchamp"" (Grabado popular impreso para la exhibición ""Sueños con Marcel Duchamp"")","[26617]","1980","Offset lithograph with pencil additions","composition: 7 5/8 x 10 3/16"" (19.4 x 25.8 cm); sheet: 8 3/8 x 10 7/8"" (21.2 x 27.7 cm)","Gift of the artist","519.2005.6","Print","Drawings & Prints","2005-06-02","Y","http://www.moma.org/collection/works/110519","","","","19.4","","","25.8","",""
"134490","Paper Tiger","[402]","1969","Screenprint","composition: 19 13/16 x 27 3/4"" (50.4 x 70.5 cm); sheet: 21 5/16 x 29 1/8"" (54.2 x 74 cm)","Mary Ellen Oldenburg Fund","95.201","Print","Drawings & Prints","2010-03-09","Y","http://www.moma.org/collection/works/134490","","","","50.4","","","70.5","",""
"5904","Marilú Marini, Aida Laib, Ana Kamien, Danza Actual (Poster for a dance performance at the Teatro Alianza Francesa, Buenos Aires)","[2164]","1964","Offset lithograph","39 x 18 1/4"" (99.1 x 46.3 cm)","Gift of the designer","260.1981","Design","Architecture & Design","1981-04-30","Y","http://www.moma.org/collection/works/5904","","","","99.1","","","46.3","",""
"8067","(Exhibition of Graphic Art, Albertina Museum, Vienna)","[5228]","Unknown","Poster","23 1/4 x 33"" (59.0 x 83.8 cm)","Gift of the artist","760.1963","Design","Architecture & Design","1963-12-10","N","","","","","59.0","","","83.8","",""
